Arquivo: ENERGISAMT-2Via-Matricula-0001073451-08-2025.PDF
Energia Atv Injetada GDI mUC 12/2024 mPT KWH;;;;12;202;4;114,00;
Energia Atv Injetada GDI mUC 8/2025 mPT KWH;;;;8;202;5;576,00;
Adic. B.;;;;7,76;0,30;7,76;17;1,31
Adic. B.;;;;1,25;0,05;1,25;17;0,21
DIF.CREDITO A DEVOLVER;;;;1.568,50;;;;
""
Arquivo: ENERGISAMT-2Via-Matricula-0002043268-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;609,00;1,014970;618,12;25,00;618,12;12;74,17;0,852130
Energia Atv Injetada GDI mUC 4/2025 mPT KWH;;;;4;202;5;127,00;
Energia Atv Injetada GDI mUC 8/2025 mPT KWH;;;;8;202;5;382,00;
Adic. B.;;;;7,41;0,30;7,41;12;0,89
Adic. B.;;;;1,12;0,05;1,12;12;0,14
""
Arquivo: ENERGISAMT-2Via-Matricula-0002115070-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;2.254,00;1,076110;2.425,58;92,54;2.425,58;17;412,35;0,852130
Adic. B.;;;;26,94;1,02;26,94;17;4,58
Adic. B.;;;;176,66;6,74;176,66;17;30,03
""
Arquivo: ENERGISAMT-2Via-Matricula-0003391387-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;633,00;1,014970;642,48;25,98;642,48;12;77,09;0,852130
Energia Atv Injetada GDI mUC 6/2024 mPT KWH;;;;6;202;4;117,00;
Energia Atv Injetada GDI mUC 9/2024 mPT KWH;;;;9;202;4;6,00;
Energia Atv Injetada GDI mUC 8/2025 mPT KWH;;;;8;202;5;480,00;
Adic. B.;;;;0,33;0,02;0,33;12;0,03
Adic. B.;;;;2,26;0,10;2,26;12;0,28
""
Arquivo: ENERGISAMT-2Via-Matricula-0003461609-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;772,00;1,014970;783,56;31,69;783,56;12;94,04;0,852130
Energia Atv Injetada GDI mUC 4/2025 mPT KWH;;;;4;202;5;50,00;
Energia Atv Injetada GDI mUC 5/2025 mPT KWH;;;;5;202;5;622,00;
Adic. B.;;;;1,12;0,05;1,12;12;0,13
Adic. B.;;;;7,42;0,29;7,42;12;0,88
""
Arquivo: ENERGISAMT-Fat-Matricula-0000041620-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;815,00;1,014970;827,20;33,46;827,20;12;99,27;0,852130
Adic. B.;;;;10,52;0,42;10,52;12;1,26
Adic. B.;;;;57,88;2,34;57,88;12;6,94
""
Arquivo: ENERGISAMT-Fat-Matricula-0000166919-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;279,00;0,923620;257,69;11,45;70,79;12;8,49;0,852130
Energia Atv Injetada GDI mUC 5/2022 mPT KWH;;;;5;202;2;249,00;
Adic. B.;;;;1,07;0,04;0,29;12;0,03
Adic. B.;;;;0,68;0,03;0,18;12;0,02
""
Arquivo: ENERGISAMT-Fat-Matricula-0000177096-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;5.188,88;1,076110;5.583,88;213,02;5.583,88;17;949,25;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;1.057,00;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;4.031,48;
Adic. B.;;;;7,80;0,30;7,80;17;1,32
Adic. B.;;;;1,25;0,05;1,25;17;0,22
""
Arquivo: ENERGISAMT-Fat-Matricula-0000177111-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Custo de Disponibilidade KWH;30,00;0,893180;26,79;1,23;0,00;0;0,00;0,852130
Adic. B.;;;;0,41;0,01;0,00;0;0,00
Adic. B.;;;;1,16;0,05;0,00;0;0,00
""
Arquivo: ENERGISAMT-Fat-Matricula-0000177159-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;4.640,00;1,076110;4.993,21;190,49;4.993,21;17;848,84;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;1.442,00;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;2.140,00;
Energia Atv Injetada GDI mUC 12/2024 mPT KWH;;;;12;202;4;958,00;
Adic. B.;;;;4,58;0,18;4,58;17;0,78
Adic. B.;;;;1,90;0,07;1,90;17;0,32
""
Arquivo: ENERGISAMT-Fat-Matricula-0000177184-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;16.575,00;1,076110;17.836,76;680,46;17.836,76;17;3.032,24;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;7.697,00;
Energia Atv Injetada GDI mUC 9/2024 mPT KWH;;;;9;202;4;55,00;
Energia Atv Injetada GDI mUC 10/2024 mPT KWH;;;;10;202;4;2.977,00;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;5.746,00;
Adic. B.;;;;3,69;0,14;3,69;17;0,63
Adic. B.;;;;3,50;0,14;3,50;17;0,59
""
Arquivo: ENERGISAMT-Fat-Matricula-0000177278-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;6.645,00;1,076110;7.150,84;272,80;7.150,84;17;1.215,64;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;5.196,00;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;1.349,00;
Adic. B.;;;;2,19;0,08;2,19;17;0,37
Adic. B.;;;;4,40;0,17;4,40;17;0,75
""
Arquivo: ENERGISAMT-Fat-Matricula-0000177402-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;2.589,00;1,076110;2.786,08;106,29;2.786,08;17;473,63;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;2.489,00;
Adic. B.;;;;1,79;0,07;1,79;17;0,31
Adic. B.;;;;4,62;0,17;4,62;17;0,78
""
Arquivo: ENERGISAMT-Fat-Matricula-0000353804-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh - Ponta KWH;1.420,72;2,797630;3.974,67;183,40;3.974,67;17;675,69;2,192950
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;580,54;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;840,19;
Consumo em kWh - Fora Ponta KWH;16.224,51;0,530280;8.603,66;397,00;8.603,66;17;1.462,62;0,415670
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;5.868,15;
Energia Atv Injetada GDI mUC 11/2024 oPT KWH;;;;11;202;4;792,08;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;5.943,28;
Energia Atv Injetada GDI mUC 12/2024 mPT KWH;;;;12;202;4;3.621,00;
Energia Reativa Exced em KWh;76,11;0,386110;29,38;1,35;29,38;17;4,99;0,302660
Demanda de Potência Medida - Fora Ponta KW;77,54;41,767820;3.238,64;149,44;3.238,64;17;550,57;32,740000
Demanda Potência Não Consumida - F Ponta KW;22,46;34,667290;778,65;43,29;0,00;0;0,00;32,740000
Ilum Pub;;;;243,71;0,00;0,00;0;0,00
""
Arquivo: ENERGISAMT-Fat-Matricula-0000354230-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;463,00;0,923620;427,64;19,01;117,48;12;14,09;0,852130
Adic. B.;;;;26,80;1,19;7,36;12;0,88
Adic. B.;;;;7,20;0,32;1,97;12;0,24
""
Arquivo: ENERGISAMT-Fat-Matricula-0000354385-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;1.807,00;1,076110;1.944,55;74,18;1.944,55;17;330,57;0,852130
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;1.777,00;
Adic. B.;;;;1,41;0,05;1,41;17;0,24
Adic. B.;;;;0,49;0,01;0,49;17;0,08
""
Arquivo: ENERGISAMT-Fat-Matricula-0000355349-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;948,00;1,014970;962,20;38,91;962,20;12;115,46;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;480,00;
Energia Atv Injetada GDI mUC 10/2024 mPT KWH;;;;10;202;4;86,00;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;352,00;
Adic. B.;;;;1,34;0,06;1,34;12;0,15
Adic. B.;;;;0,47;0,02;0,47;12;0,05
""
Arquivo: ENERGISAMT-Fat-Matricula-0000355352-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;3.574,94;1,076110;3.847,08;146,76;3.847,08;17;654,00;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;2.403,00;
Energia Atv Injetada GDI mUC 9/2024 mPT KWH;;;;9;202;4;971,00;
Energia Atv Injetada GDI mUC 10/2024 mPT KWH;;;;10;202;4;100,00;
Adic. B.;;;;1,59;0,06;1,59;17;0,27
Adic. B.;;;;4,79;0,20;4,79;17;0,81
""
Arquivo: ENERGISAMT-Fat-Matricula-0000355355-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;2.833,65;1,076110;3.049,36;116,33;3.049,36;17;518,39;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;2.693,00;
Energia Atv Injetada GDI mUC 3/2025 mPT KWH;;;;3;202;5;40,00;
Adic. B.;;;;4,86;0,20;4,86;17;0,83
Adic. B.;;;;1,47;0,06;1,47;17;0,25
""
Arquivo: ENERGISAMT-Fat-Matricula-0000355394-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;1.990,00;1,076110;2.141,48;81,69;2.141,48;17;364,05;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;1.248,00;
Energia Atv Injetada GDI mUC 9/2024 mPT KWH;;;;9;202;4;712,00;
Adic. B.;;;;0,50;0,02;0,50;17;0,08
Adic. B.;;;;1,41;0,05;1,41;17;0,24
""
Arquivo: ENERGISAMT-Fat-Matricula-0000355745-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;5.453,00;1,076110;5.868,10;223,86;5.868,10;17;997,57;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;2.019,00;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;292,00;
Energia Atv Injetada GDI mUC 12/2024 mPT KWH;;;;12;202;4;3.112,00;
Adic. B.;;;;1,42;0,05;1,42;17;0,24
Adic. B.;;;;0,51;0,04;0,51;17;0,09
""
Arquivo: ENERGISAMT-Fat-Matricula-0000415364-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;1.093,00;1,076110;1.176,20;44,87;1.176,20;17;199,95;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;767,00;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;296,00;
Adic. B.;;;;0,85;0,04;0,85;17;0,15
Adic. B.;;;;1,50;0,06;1,50;17;0,25
""
Arquivo: ENERGISAMT-Fat-Matricula-0000480729-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;3.171,00;1,076110;3.412,39;130,18;3.412,39;17;580,10;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;1.153,00;
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;1.918,00;
Adic. B.;;;;3,88;0,14;3,88;17;0,66
Adic. B.;;;;3,44;0,14;3,44;17;0,58
Ilum Pub;;;;84,36;0,00;0,00;0;0,00
""
Arquivo: ENERGISAMT-Fat-Matricula-0000481894-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
TUSD em kWh - Ponta KWH;7.597,80;2,185710;16.606,64;766,28;16.606,64;17;2.823,13;1,713290
TUSD em kWh - Fora Ponta KWH;58.948,58;0,167180;9.855,38;454,76;9.855,38;17;1.675,41;0,131050
Energia Reat Exced em KWh;503,16;0,386110;194,27;8,96;194,27;17;33,02;0,302660
Energia Reat Exced em KWh;4.813,96;0,386110;1.858,74;85,77;1.858,74;17;315,98;0,302660
TUSD em kW - Fora Ponta KW;604,80;41,767820;25.261,17;1.165,63;25.261,17;17;4.294,40;32,740000
TUSD em kW Reativa Exced - Fora Ponta UN;100,60;41,767820;4.201,88;193,89;4.201,88;17;714,32;32,740000
Adicional Conta Covid Escassez Hídrica KWH;66.546,38;0,033539;2.231,91;102,98;2.231,91;17;379,42;0,026290
DÉBITO TUSD KW-APCEI 06/2025;;;;06;202;5;10,82;
DEBITO TUSD KWH PONTA-APCEI 06/2025;;;;06;202;5;17,16;
CREDITO TUSD KW-APCEI 08/2025;;;;08;202;5;-9.900,58;
CREDITO TUSD KWH PONTA-APCEI 08/2025;;;;08;202;5;-6.010,77;
Substituição Tributária - Crédito;;;;33.095,63;0,00;33.095,63;17;
Substituição Tributária - Débito;;;;-27.469,38;0,00;0,00;0;
""
Arquivo: ENERGISAMT-Fat-Matricula-0000643517-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
TUSD em kWh - Ponta KWH;6.488,47;2,185710;14.181,97;654,39;14.181,97;17;2.410,93;1,713290
TUSD em kWh - Fora Ponta KWH;51.795,45;0,167180;8.659,47;399,58;8.659,47;17;1.472,11;0,131050
Energia Reat Exced em KWh;509,36;0,386110;196,67;9,07;196,67;17;33,43;0,302660
Energia Reat Exced em KWh;5.673,23;0,386110;2.190,52;101,08;2.190,52;17;372,39;0,302660
TUSD em kW - Fora Ponta KW;218,40;41,767820;9.122,09;420,91;9.122,09;17;1.550,75;32,740000
TUSD em kW Reativa Exced - Fora Ponta UN;39,91;41,767820;1.667,15;76,92;1.667,15;17;283,41;32,740000
TUSD em kW - Ultrapassagem - Fora Ponta KW;38,40;83,535640;3.207,76;148,01;3.207,76;17;545,32;65,480000
Adicional Conta Covid Escassez Hídrica KWH;58.283,92;0,033539;1.954,80;90,20;1.954,80;17;332,32;0,026290
DÉBITO TUSD KW-APCEI 06/2025;;;;06;202;5;19,94;
DEBITO TUSD KWH PONTA-APCEI 06/2025;;;;06;202;5;27,80;
CREDITO TUSD KW-APCEI 08/2025;;;;08;202;5;-3.575,21;
CREDITO TUSD KWH PONTA-APCEI 08/2025;;;;08;202;5;-5.133,15;
Substituição Tributária - Crédito;;;;28.986,46;0,00;28.986,46;17;
Substituição Tributária - Débito;;;;-24.058,77;0,00;0,00;0;
""
Arquivo: ENERGISAMT-Fat-Matricula-0000650266-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;188,00;1,076110;202,31;7,72;202,31;17;34,40;0,852130
Adic. B.;;;;15,31;0,58;15,31;17;2,60
Adic. B.;;;;1,91;0,07;1,91;17;0,32
Ilum Pub;;;;32,80;0,00;0,00;0;0,00
""
Arquivo: ENERGISAMT-Fat-Matricula-0000681372-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;896,00;1,014970;909,42;36,78;909,42;12;109,13;0,852130
Energia Atv Injetada GDI mUC 8/2023 mPT KWH;;;;8;202;3;866,00;
Adic. B.;;;;1,69;0,07;1,69;12;0,20
Adic. B.;;;;0,64;0,02;0,64;12;0,08
""
Arquivo: ENERGISAMT-Fat-Matricula-0000681489-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;859,00;1,014970;871,86;35,26;871,86;12;104,62;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;480,00;
Energia Atv Injetada GDI mUC 9/2024 mPT KWH;;;;9;202;4;349,00;
Adic. B.;;;;0,49;0,03;0,49;12;0,06
Adic. B.;;;;1,97;0,08;1,97;12;0,23
""
Arquivo: ENERGISAMT-Fat-Matricula-0000692872-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
TUSD em kWh - Ponta KWH;39.513,25;2,185710;86.364,80;3.985,13;86.364,80;17;14.682,02;1,713290
TUSD em kWh - Fora Ponta KWH;150.640,00;0,167180;25.184,91;1.162,11;25.184,91;17;4.281,43;0,131050
Energia Reat Exced em KWh;5.670,03;0,386110;2.189,29;101,02;2.189,29;17;372,18;0,302660
TUSD em kW - Fora Ponta KW;2.198,00;41,767820;91.805,67;4.236,19;91.805,67;17;15.606,96;32,740000
Adicional Conta Covid Escassez Hídrica KWH;190.153,25;0,033539;6.377,60;294,28;6.377,60;17;1.084,19;0,026290
DÉBITO TUSD KW-APCEI 06/2025;;;;06;202;5;18,64;
DÉBITO TUSD KW-APCEI - N CONSUMIDA 06/2025;;;;06;202;5;3,23;
DEBITO TUSD KWH PONTA-APCEI 06/2025;;;;06;202;5;15,22;
CREDITO TUSD KW-APCEI 08/2025;;;;08;202;5;-35.981,27;
CREDITO TUSD KWH PONTA-APCEI 08/2025;;;;08;202;5;-31.259,71;
Substituição Tributária - Crédito;;;;94.569,53;0,00;94.569,53;17;
Substituição Tributária - Débito;;;;-78.492,71;0,00;0,00;0;
""
Arquivo: ENERGISAMT-Fat-Matricula-0000692874-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;515,00;1,014970;522,71;21,14;522,71;12;62,72;0,852130
Energia Atv Injetada GDI mUC 4/2025 mPT KWH;;;;4;202;5;415,00;
Adic. B.;;;;1,12;0,05;1,12;12;0,14
Adic. B.;;;;4,68;0,19;4,68;12;0,55
""
Arquivo: ENERGISAMT-Fat-Matricula-0000693573-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
TUSD em kWh - Ponta KWH;9.555,00;2,185710;20.884,53;963,67;20.884,53;17;3.550,37;1,713290
TUSD em kWh - Fora Ponta KWH;78.249,50;0,167180;13.082,22;603,65;13.082,22;17;2.223,98;0,131050
Energia Reat Exced em KWh;14,90;0,386110;5,75;0,27;5,75;17;0,98;0,302660
Energia Reat Exced em KWh;19.684,73;0,386110;7.600,59;350,71;7.600,59;17;1.292,10;0,302660
TUSD em kW - Fora Ponta KW;2.625,00;41,767820;109.640,53;5.059,14;109.640,53;17;18.638,89;32,740000
TUSD em kW Reativa Exced - Fora Ponta UN;63,91;41,767820;2.669,56;123,18;2.669,56;17;453,82;32,740000
TUSD em kW - Ultrapassagem - Fora Ponta KW;145,00;83,535640;12.112,66;558,91;12.112,66;17;2.059,15;65,480000
Adicional Conta Covid Escassez Hídrica KWH;87.804,50;0,033539;2.944,89;135,89;2.944,89;17;500,63;0,026290
DÉBITO TUSD KW-APCEI 06/2025;;;;06;202;5;11,81;
DÉBITO TUSD KW-APCEI - N CONSUMIDA 06/2025;;;;06;202;5;14,30;
DEBITO TUSD KWH PONTA-APCEI 06/2025;;;;06;202;5;8,78;
CREDITO TUSD KW-APCEI 08/2025;;;;08;202;5;-42.971,26;
CREDITO TUSD KWH PONTA-APCEI 08/2025;;;;08;202;5;-7.559,15;
Substituição Tributária - Crédito;;;;43.668,49;0,00;43.668,49;17;
Substituição Tributária - Débito;;;;-36.244,85;0,00;0,00;0;
""
Arquivo: ENERGISAMT-Fat-Matricula-0000693647-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;2.943,00;1,076110;3.167,03;120,82;3.167,03;17;538,39;0,852130
Energia Atv Injetada GDI mUC 12/2024 mPT KWH;;;;12;202;4;2.843,00;
Adic. B.;;;;4,96;0,19;4,96;17;0,84
Adic. B.;;;;1,20;0,05;1,20;17;0,21
""
Arquivo: ENERGISAMT-Fat-Matricula-0000693648-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;14.179,93;1,076110;15.259,37;582,13;15.259,37;17;2.594,09;0,852130
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;11.356,00;
Energia Atv Injetada GDI mUC 3/2025 mPT KWH;;;;3;202;5;2.723,00;
Energia Reativa Exced em KWh;1.825,89;0,382210;697,89;26,62;697,89;17;118,64;0,302660
Adic. B.;;;;4,91;0,19;4,91;17;0,83
Adic. B.;;;;1,39;0,05;1,39;17;0,24
DIF.CREDITO A DEVOLVER;;;;9.128,40;;;;
""
Arquivo: ENERGISAMT-Fat-Matricula-0000693651-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh - Ponta KWH;588,60;2,797630;1.646,69;75,98;1.646,69;17;279,94;2,192950
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;588,60;
Consumo em kWh - Fora Ponta KWH;3.767,40;0,530280;1.997,80;92,18;1.997,80;17;339,63;0,415670
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;3.767,40;
Energia Reativa Exced em KWh;257,40;0,386110;99,38;4,59;99,38;17;16,89;0,302660
Energia Reativa Exced em KWh;1.647,00;0,386110;635,93;29,34;635,93;17;108,11;0,302660
Demanda de Potência Medida - Fora Ponta KW;26,40;41,767820;1.102,67;50,88;1.102,67;17;187,45;32,740000
Demanda Potência Não Consumida - F Ponta KW;9,12;34,667290;316,16;17,57;0,00;0;0,00;32,740000
""
Arquivo: ENERGISAMT-Fat-Matricula-0000693677-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh - Ponta KWH;2.059,82;2,797630;5.762,63;265,90;5.762,63;17;979,65;2,192950
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;2.059,82;
Consumo em kWh - Fora Ponta KWH;74.566,24;0,530280;39.541,58;1.824,57;39.541,58;17;6.722,07;0,415670
Energia Atv Injetada GDI oUC 8/2025 mPT KWH;;;;8;202;5;31.004,88;
Energia Atv Injetada GDI oUC 8/2025 oPT KWH;;;;8;202;5;1.697,89;
Energia Atv Injetada GDI mUC 6/2024 oPT KWH;;;;6;202;4;1.602,97;
Energia Atv Injetada GDI mUC 7/2024 mPT KWH;;;;7;202;4;40.260,51;
Energia Reativa Exced em KWh;176,12;0,386110;68,00;3,14;68,00;17;11,56;0,302660
Energia Reativa Exced em KWh;2.983,54;0,386110;1.151,99;53,15;1.151,99;17;195,84;0,302660
Demanda de Potência Medida - Fora Ponta KW;271,60;41,767820;11.344,14;523,45;11.344,14;17;1.928,50;32,740000
""
Arquivo: ENERGISAMT-Fat-Matricula-0000693679-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
TUSD em kWh - Ponta KWH;3.329,12;2,185710;7.276,51;335,75;7.276,51;17;1.237,01;1,713290
TUSD em kWh - Fora Ponta KWH;24.888,56;0,167180;4.161,02;192,00;4.161,02;17;707,37;0,131050
Energia Reat Exced em KWh;78,41;0,386110;30,27;1,40;30,27;17;5,14;0,302660
TUSD em kW - Fora Ponta KW;95,45;41,767820;3.986,65;183,95;3.986,65;17;677,73;32,740000
Adicional Conta Covid Escassez Hídrica KWH;28.217,68;0,033539;946,40;43,67;946,40;17;160,89;0,026290
DÉBITO TUSD KW-APCEI 06/2025;;;;06;202;5;8,56;
